"","method","r","Sd","sample_size","ESS_group","Period","accuracy","precision"
"256","OLE_resamp_norm",0.01,20,10,5,"Pleistocene",100,6793.67311906123
"257","OLE_resamp_norm",0.01,20,40,10,"Holocene",98.9701338825953,1326.87876805113
"258","OLE_resamp_norm",0.01,20,40,10,"Pleistocene",99.9,2402.91208619681
"259","OLE_resamp_norm",0.01,20,40,40,"Holocene",88.5684860968074,1409.76240322252
"260","OLE_resamp_norm",0.01,20,40,40,"Pleistocene",99.5,2212.50552146459
"261","OLE_resamp_norm",0.01,20,40,5,"Holocene",100,2913.34802178678
"262","OLE_resamp_norm",0.01,20,40,5,"Pleistocene",100,5510.21342239894
"263","OLE_resamp_norm",0.01,20,80,10,"Holocene",99.794026776519,1110.38419963793
"264","OLE_resamp_norm",0.01,20,80,10,"Pleistocene",100,2160.16402652876
"265","OLE_resamp_norm",0.01,20,80,40,"Holocene",97.1163748712667,1037.74416977296
"266","OLE_resamp_norm",0.01,20,80,40,"Pleistocene",100,1803.60480736157
"267","OLE_resamp_norm",0.01,20,80,5,"Holocene",100,2480.12644034541
"268","OLE_resamp_norm",0.01,20,80,5,"Pleistocene",100,5064.01768198608
"269","OLE_resamp_norm",0.01,20,80,80,"Holocene",93.4088568486097,1351.26956917324
"270","OLE_resamp_norm",0.01,20,80,80,"Pleistocene",100,2175.52876556835
"271","OLE_resamp_norm",0.01,50,10,10,"Holocene",97.5283213182286,2399.10803370866
"272","OLE_resamp_norm",0.01,50,10,10,"Pleistocene",99.9,3261.81059593767
"273","OLE_resamp_norm",0.01,50,10,5,"Holocene",100,5094.06323614202
"274","OLE_resamp_norm",0.01,50,10,5,"Pleistocene",100,7212.44480955055
"275","OLE_resamp_norm",0.01,50,40,10,"Holocene",99.8970133882595,1571.47909860728
"276","OLE_resamp_norm",0.01,50,40,10,"Pleistocene",100,2463.40444063188
"277","OLE_resamp_norm",0.01,50,40,40,"Holocene",95.7775489186406,1579.73428403114
"278","OLE_resamp_norm",0.01,50,40,40,"Pleistocene",99.7,2285.31031638578
"279","OLE_resamp_norm",0.01,50,40,5,"Holocene",100,3489.54623473996
"280","OLE_resamp_norm",0.01,50,40,5,"Pleistocene",100,5648.39076354382
"281","OLE_resamp_norm",0.01,50,80,10,"Holocene",100,1408.0111475191
"282","OLE_resamp_norm",0.01,50,80,10,"Pleistocene",100,2237.2610926105
"283","OLE_resamp_norm",0.01,50,80,40,"Holocene",99.8970133882595,1239.02010138549
"284","OLE_resamp_norm",0.01,50,80,40,"Pleistocene",100,1876.45822830789
"285","OLE_resamp_norm",0.01,50,80,5,"Holocene",100,3224.67224152213
"286","OLE_resamp_norm",0.01,50,80,5,"Pleistocene",100,5225.74322374544
"287","OLE_resamp_norm",0.01,50,80,80,"Holocene",98.6611740473738,1549.6918928381
"288","OLE_resamp_norm",0.01,50,80,80,"Pleistocene",100,2255.25211414609
"289","OLE_resamp_norm",0.03,20,10,10,"Holocene",96.7044284243049,2051.49831952711
"290","OLE_resamp_norm",0.03,20,10,10,"Pleistocene",99.9,3126.34759225104
"291","OLE_resamp_norm",0.03,20,10,5,"Holocene",100,3681.2246898617
"292","OLE_resamp_norm",0.03,20,10,5,"Pleistocene",100,6604.79642191222
"293","OLE_resamp_norm",0.03,20,40,10,"Holocene",99.8970133882595,1069.2575617697
"294","OLE_resamp_norm",0.03,20,40,10,"Pleistocene",100,2210.35052611445
"295","OLE_resamp_norm",0.03,20,40,40,"Holocene",95.3656024716787,1361.31543526519
"296","OLE_resamp_norm",0.03,20,40,40,"Pleistocene",100,2193.25383373819
"297","OLE_resamp_norm",0.03,20,40,5,"Holocene",100,2349.70452272898
"298","OLE_resamp_norm",0.03,20,40,5,"Pleistocene",100,5055.962929632
"299","OLE_resamp_norm",0.03,20,80,10,"Holocene",99.794026776519,917.257123123935
"300","OLE_resamp_norm",0.03,20,80,10,"Pleistocene",100,2004.42204411198
"301","OLE_resamp_norm",0.03,20,80,40,"Holocene",98.9701338825953,886.304413660867
"302","OLE_resamp_norm",0.03,20,80,40,"Pleistocene",100,1694.88428224762
"303","OLE_resamp_norm",0.03,20,80,5,"Holocene",100,2100.3420578958
"304","OLE_resamp_norm",0.03,20,80,5,"Pleistocene",100,4703.87244813813
"305","OLE_resamp_norm",0.03,20,80,80,"Holocene",97.2193614830072,1314.93156968733
"306","OLE_resamp_norm",0.03,20,80,80,"Pleistocene",100,2169.12493813972
"307","OLE_resamp_norm",0.03,50,10,10,"Holocene",99.4855967078189,2339.89214724656
"308","OLE_resamp_norm",0.03,50,10,10,"Pleistocene",99.9,3258.73819861893
"309","OLE_resamp_norm",0.03,50,10,5,"Holocene",100,4570.37052698036
"310","OLE_resamp_norm",0.03,50,10,5,"Pleistocene",100,6890.03134537872
"311","OLE_resamp_norm",0.03,50,40,10,"Holocene",100,1402.9396277733
"312","OLE_resamp_norm",0.03,50,40,10,"Pleistocene",100,2359.7092477639
"313","OLE_resamp_norm",0.03,50,40,40,"Holocene",99.3827160493827,1563.67964215185
"314","OLE_resamp_norm",0.03,50,40,40,"Pleistocene",100,2287.12847755343
"315","OLE_resamp_norm",0.03,50,40,5,"Holocene",100,3152.62214363679
"316","OLE_resamp_norm",0.03,50,40,5,"Pleistocene",100,5441.86745013729
"317","OLE_resamp_norm",0.03,50,80,10,"Holocene",100,1228.58986001531
"318","OLE_resamp_norm",0.03,50,80,10,"Pleistocene",100,2153.32356152532
"319","OLE_resamp_norm",0.03,50,80,40,"Holocene",100,1102.58096442566
"320","OLE_resamp_norm",0.03,50,80,40,"Pleistocene",100,1788.20965711255
"321","OLE_resamp_norm",0.03,50,80,5,"Holocene",100,2828.48490623486
"322","OLE_resamp_norm",0.03,50,80,5,"Pleistocene",100,5081.46967455543
"323","OLE_resamp_norm",0.03,50,80,80,"Holocene",100,1524.25189007302
"324","OLE_resamp_norm",0.03,50,80,80,"Pleistocene",100,2261.53210484474
"325","OLE_resamp_norm",0.06,20,10,10,"Holocene",97.0164609053498,2105.12448410398
"326","OLE_resamp_norm",0.06,20,10,10,"Pleistocene",99.9,3166.24308471181
"327","OLE_resamp_norm",0.06,20,10,5,"Holocene",100,3662.05371705222
"328","OLE_resamp_norm",0.06,20,10,5,"Pleistocene",100,6523.62849084255
"329","OLE_resamp_norm",0.06,20,40,10,"Holocene",100,992.531053860756
"330","OLE_resamp_norm",0.06,20,40,10,"Pleistocene",100,2223.30887347244
"331","OLE_resamp_norm",0.06,20,40,40,"Holocene",97.9423868312757,1359.069003657
"332","OLE_resamp_norm",0.06,20,40,40,"Pleistocene",100,2219.31775070041
