"r","Sd","ESS","sample_size","method","Period","avg_accuracy","avg_precision","avg_agreementindex","prop_agrementindex_over_60","avg_accuracy_agreementindex_over_60"
0.01,50,80,80,"OLE_resamp_norm","Holocene",0.986611740473738,1549.6918928381,NA,NA,NA
0.01,50,80,80,"OLE_resamp_norm","Pleistocene",1,2255.25211414609,NA,NA,NA
0.01,50,80,80,"OLE_resamp_unif","Holocene",0.987641606591143,1571.63306392892,NA,NA,NA
0.01,50,80,80,"OLE_resamp_unif","Pleistocene",0.999,2211.59411454535,NA,NA,NA
0.01,50,80,80,"oxcal_trap","Holocene",0.896076352067869,252.153764581124,95.270816542948,1,0.896076352067869
0.01,50,80,80,"oxcal_trap","Pleistocene",0.915,380.305,89.05905,0.891,0.929292929292929
0.01,50,80,80,"oxcal_unif","Holocene",0.161007667031763,134.513143483023,85.777721796276,0.979189485213582,0.164429530201342
0.01,50,80,80,"oxcal_unif","Pleistocene",0.253,244.834,77.74919,0.81,0.234567901234568
0.03,20,5,10,"OLE_medians","Holocene",0.917610710607621,3352.6047724081,NA,NA,NA
0.03,20,5,10,"OLE_medians","Pleistocene",0.97,4831.02574922409,NA,NA,NA
0.03,20,5,10,"OLE_resamp_caldate","Holocene",0.993820803295572,3323.46853613858,NA,NA,NA
0.03,20,5,10,"OLE_resamp_caldate","Pleistocene",1,5460.45275929932,NA,NA,NA
0.03,20,5,10,"OLE_resamp_norm","Holocene",1,3681.2246898617,NA,NA,NA
0.03,20,5,10,"OLE_resamp_norm","Pleistocene",1,6604.79642191222,NA,NA,NA
0.03,20,5,10,"OLE_resamp_unif","Holocene",1,3745.17492609389,NA,NA,NA
0.03,20,5,10,"OLE_resamp_unif","Pleistocene",1,6522.8746015551,NA,NA,NA
0.03,20,5,40,"OLE_medians","Holocene",0.870236869207003,2086.9402454279,NA,NA,NA
0.03,20,5,40,"OLE_medians","Pleistocene",0.98,3271.51769277861,NA,NA,NA
0.03,20,5,40,"OLE_resamp_caldate","Holocene",1,1969.95367108889,NA,NA,NA
0.03,20,5,40,"OLE_resamp_caldate","Pleistocene",1,3912.00963230437,NA,NA,NA
0.03,20,5,40,"OLE_resamp_norm","Holocene",1,2349.70452272898,NA,NA,NA
0.03,20,5,40,"OLE_resamp_norm","Pleistocene",1,5055.962929632,NA,NA,NA
0.03,20,5,40,"OLE_resamp_unif","Holocene",1,2343.84331946896,NA,NA,NA
0.03,20,5,40,"OLE_resamp_unif","Pleistocene",1,4119.97885110241,NA,NA,NA
0.03,20,5,80,"OLE_medians","Holocene",0.884654994850669,2157.23766697593,NA,NA,NA
0.03,20,5,80,"OLE_medians","Pleistocene",0.982,2652.86798500133,NA,NA,NA
0.03,20,5,80,"OLE_resamp_caldate","Holocene",1,1742.99663986663,NA,NA,NA
0.03,20,5,80,"OLE_resamp_caldate","Pleistocene",1,3485.46143056584,NA,NA,NA
0.03,20,5,80,"OLE_resamp_norm","Holocene",1,2100.3420578958,NA,NA,NA
0.03,20,5,80,"OLE_resamp_norm","Pleistocene",1,4703.87244813813,NA,NA,NA
0.03,20,5,80,"OLE_resamp_unif","Holocene",1,1955.12970950086,NA,NA,NA
0.03,20,5,80,"OLE_resamp_unif","Pleistocene",1,3560.56861963489,NA,NA,NA
0.03,20,10,10,"CRIWM","Holocene",0.323,165.148,NA,NA,NA
0.03,20,10,10,"CRIWM","Pleistocene",0.8,448.254,NA,NA,NA
0.03,20,10,10,"OLE_medians","Holocene",0.873326467559217,1871.45761366046,NA,NA,NA
0.03,20,10,10,"OLE_medians","Pleistocene",0.928,2336.59430195983,NA,NA,NA
0.03,20,10,10,"OLE_resamp_caldate","Holocene",0.952626158599382,1973.19078770809,NA,NA,NA
0.03,20,10,10,"OLE_resamp_caldate","Pleistocene",0.994,2725.87013843388,NA,NA,NA
0.03,20,10,10,"OLE_resamp_norm","Holocene",0.967044284243048,2051.49831952711,NA,NA,NA
0.03,20,10,10,"OLE_resamp_norm","Pleistocene",0.999,3126.34759225104,NA,NA,NA
0.03,20,10,10,"OLE_resamp_unif","Holocene",0.973223480947477,2090.07119751931,NA,NA,NA
0.03,20,10,10,"OLE_resamp_unif","Pleistocene",0.999,3219.97005191915,NA,NA,NA
0.03,20,10,10,"oxcal_trap","Holocene",0.850477200424178,598.576352067868,97.2360339342524,1,0.850477200424178
0.03,20,10,10,"oxcal_trap","Pleistocene",0.839,812.8275,91.7341,0.923,0.837486457204767
0.03,20,10,10,"oxcal_unif","Holocene",0.755750273822563,324.287513691128,96.372256297919,1,0.755750273822563
0.03,20,10,10,"oxcal_unif","Pleistocene",0.783,560.1325,92.91111,0.969,0.78328173374613
0.03,20,10,40,"OLE_medians","Holocene",0.809474768280124,803.18054668727,NA,NA,NA
0.03,20,10,40,"OLE_medians","Pleistocene",0.953,1417.78413681092,NA,NA,NA
0.03,20,10,40,"OLE_resamp_caldate","Holocene",0.978372811534501,920.609843438325,NA,NA,NA
0.03,20,10,40,"OLE_resamp_caldate","Pleistocene",0.999,1732.74855106804,NA,NA,NA
0.03,20,10,40,"OLE_resamp_norm","Holocene",0.998970133882595,1069.2575617697,NA,NA,NA
0.03,20,10,40,"OLE_resamp_norm","Pleistocene",1,2210.35052611445,NA,NA,NA
